ZipCode,Neighborhood,Borough,Population
500001,Banjara Hills,Greater Hyderabad,100339
500002,Jubilee Hills,Greater Hyderabad,241863
500003,Ameerpet,Greater Hyderabad,191570
500004,Kukatpally,Greater Hyderabad,87409
500008,Madhapur,Greater Hyderabad,100618
500016,Begumpet,Greater Hyderabad,208321
500018,Secunderabad,Greater Hyderabad,178687
500028,Himayatnagar,Greater Hyderabad,229524
500033,Nampally,Greater Hyderabad,99413
500034,Abids,Greater Hyderabad,120356
501218,Shamshabad,Rangareddy District,75563
501301,Rajendranagar,Rangareddy District,55137
500058,Maheshwaram,Rangareddy District,139504
500070,Ibrahimpatnam,Rangareddy District,110224
500074,Chevella,Rangareddy District,78182
501512,Shadnagar,Rangareddy District,127764
500035,LB Nagar,Rangareddy District,61072
501401,Medchal,Medchal District,72631
500047,Malkajgiri,Medchal District,77103
500088,Ghatkesar,Medchal District,177138
500039,Uppal,Medchal District,60945
500076,Nacharam,Medchal District,68940
500014,Kompally,Medchal District,118121
500010,Alwal,Medchal District,114207
502001,Sangareddy,Sangareddy District,71318
502319,Patancheru,Sangareddy District,36244
502220,Zaheerabad,Sangareddy District,46402
502296,Narayankhed,Sangareddy District,60184
502286,Andole,Sangareddy District,31722
502270,Jogipet,Sangareddy District,43095
503001,Nizamabad City,Nizamabad District,33202
503185,Bodhan,Nizamabad District,65702
503309,Armoor,Nizamabad District,16948
503111,Kamareddy,Nizamabad District,15854
503187,Banswada,Nizamabad District,51047
503321,Nizamsagar,Nizamabad District,51168
505001,Karimnagar City,Karimnagar District,70985
505327,Jagtial,Karimnagar District,32940
505172,Peddapalli,Karimnagar District,48338
505468,Huzurabad,Karimnagar District,20380
505325,Manthani,Karimnagar District,69546
505209,Godavarikhani,Karimnagar District,18640
506001,Warangal City,Warangal District,49421
506003,Kazipet,Warangal District,34648
506167,Jangaon,Warangal District,75888
506101,Mahabubabad,Warangal District,33912
506132,Narsampet,Warangal District,93085
507001,Khammam City,Khammam District,36450
507101,Kothagudem,Khammam District,63029
507111,Bhadrachalam,Khammam District,44796
507115,Palvancha,Khammam District,17754
507123,Yellandu,Khammam District,53989
507303,Sathupally,Khammam District,57477
508001,Nalgonda City,Nalgonda District,29146
508207,Miryalaguda,Nalgonda District,55570
508213,Suryapet,Nalgonda District,27055
508116,Bhongir,Nalgonda District,39080
508202,Nagarjunasagar,Nalgonda District,35621
508248,Devarakonda,Nalgonda District,39898
509001,Mahbubnagar City,Mahabubnagar District,32640
509103,Wanaparthy,Mahabubnagar District,49502
509125,Gadwal,Mahabubnagar District,49933
509209,Nagarkurnool,Mahabubnagar District,32918
509375,Achampet,Mahabubnagar District,45104
509336,Kodangal,Mahabubnagar District,38222
504001,Adilabad City,Adilabad District,27979
504208,Mancherial,Adilabad District,13285
504106,Nirmal,Adilabad District,20762
504251,Khanapur,Adilabad District,26401
502110,Medak,Medak District,46019
502103,Siddipet,Medak District,46712
502334,Toopran,Medak District,12399
502313,Narsapur,Medak District,47556
502113,Ramayampet,Medak District,26769
