AgencyName,SLAGoalDays,WorkforceSize,Budget
GHMC,7,12000,8500000000
HMWS&SB,5,4500,2200000000
TSSPDCL,3,8000,4500000000
TSNPDCL,3,6500,3200000000
TSRTC,10,48000,5600000000
Revenue Department,30,3500,1200000000
Police Department,15,62000,12000000000
Public Health,5,18000,9000000000
Roads & Buildings,14,5200,6800000000
HMDA,21,2800,3400000000
Municipal Corporation,10,6000,2500000000
Panchayati Raj,14,9500,3100000000
Agriculture Department,20,7200,4200000000
TSIIC,25,1200,1800000000
Water Resources,21,4100,5200000000
Forest Department,20,3800,1500000000
Transport Department,10,2900,900000000
Education Department,15,95000,18000000000
Food & Civil Supplies,7,3200,2800000000
Labour Department,21,2100,750000000
