Date,Month,Year,Quarter,DayOfWeek,IsHoliday,Day
2019-01-01,January,2019,Q1,Tuesday,1,1
2019-01-02,January,2019,Q1,Wednesday,0,2
2019-01-03,January,2019,Q1,Thursday,0,3
2019-01-04,January,2019,Q1,Friday,0,4
2019-01-05,January,2019,Q1,Saturday,0,5
2019-01-06,January,2019,Q1,Sunday,0,6
2019-01-07,January,2019,Q1,Monday,0,7
2019-01-08,January,2019,Q1,Tuesday,0,8
2019-01-09,January,2019,Q1,Wednesday,0,9
2019-01-10,January,2019,Q1,Thursday,0,10
2019-01-11,January,2019,Q1,Friday,0,11
2019-01-12,January,2019,Q1,Saturday,0,12
2019-01-13,January,2019,Q1,Sunday,0,13
2019-01-14,January,2019,Q1,Monday,0,14
2019-01-15,January,2019,Q1,Tuesday,0,15
2019-01-16,January,2019,Q1,Wednesday,0,16
2019-01-17,January,2019,Q1,Thursday,0,17
2019-01-18,January,2019,Q1,Friday,0,18
2019-01-19,January,2019,Q1,Saturday,0,19
2019-01-20,January,2019,Q1,Sunday,0,20
2019-01-21,January,2019,Q1,Monday,0,21
2019-01-22,January,2019,Q1,Tuesday,0,22
2019-01-23,January,2019,Q1,Wednesday,0,23
2019-01-24,January,2019,Q1,Thursday,0,24
2019-01-25,January,2019,Q1,Friday,0,25
2019-01-26,January,2019,Q1,Saturday,1,26
2019-01-27,January,2019,Q1,Sunday,0,27
2019-01-28,January,2019,Q1,Monday,0,28
2019-01-29,January,2019,Q1,Tuesday,0,29
2019-01-30,January,2019,Q1,Wednesday,0,30
2019-01-31,January,2019,Q1,Thursday,0,31
2019-02-01,February,2019,Q1,Friday,0,1
2019-02-02,February,2019,Q1,Saturday,0,2
2019-02-03,February,2019,Q1,Sunday,0,3
2019-02-04,February,2019,Q1,Monday,0,4
2019-02-05,February,2019,Q1,Tuesday,0,5
2019-02-06,February,2019,Q1,Wednesday,0,6
2019-02-07,February,2019,Q1,Thursday,0,7
2019-02-08,February,2019,Q1,Friday,0,8
2019-02-09,February,2019,Q1,Saturday,0,9
2019-02-10,February,2019,Q1,Sunday,0,10
2019-02-11,February,2019,Q1,Monday,0,11
2019-02-12,February,2019,Q1,Tuesday,0,12
2019-02-13,February,2019,Q1,Wednesday,0,13
2019-02-14,February,2019,Q1,Thursday,0,14
2019-02-15,February,2019,Q1,Friday,0,15
2019-02-16,February,2019,Q1,Saturday,0,16
2019-02-17,February,2019,Q1,Sunday,0,17
2019-02-18,February,2019,Q1,Monday,0,18
2019-02-19,February,2019,Q1,Tuesday,0,19
2019-02-20,February,2019,Q1,Wednesday,0,20
2019-02-21,February,2019,Q1,Thursday,0,21
2019-02-22,February,2019,Q1,Friday,0,22
2019-02-23,February,2019,Q1,Saturday,0,23
2019-02-24,February,2019,Q1,Sunday,0,24
2019-02-25,February,2019,Q1,Monday,0,25
2019-02-26,February,2019,Q1,Tuesday,0,26
2019-02-27,February,2019,Q1,Wednesday,0,27
2019-02-28,February,2019,Q1,Thursday,0,28
2019-03-01,March,2019,Q1,Friday,0,1
2019-03-02,March,2019,Q1,Saturday,0,2
2019-03-03,March,2019,Q1,Sunday,0,3
2019-03-04,March,2019,Q1,Monday,0,4
2019-03-05,March,2019,Q1,Tuesday,0,5
2019-03-06,March,2019,Q1,Wednesday,0,6
2019-03-07,March,2019,Q1,Thursday,0,7
2019-03-08,March,2019,Q1,Friday,0,8
2019-03-09,March,2019,Q1,Saturday,0,9
2019-03-10,March,2019,Q1,Sunday,0,10
2019-03-11,March,2019,Q1,Monday,0,11
2019-03-12,March,2019,Q1,Tuesday,0,12
2019-03-13,March,2019,Q1,Wednesday,0,13
2019-03-14,March,2019,Q1,Thursday,0,14
2019-03-15,March,2019,Q1,Friday,0,15
2019-03-16,March,2019,Q1,Saturday,0,16
2019-03-17,March,2019,Q1,Sunday,0,17
2019-03-18,March,2019,Q1,Monday,1,18
2019-03-19,March,2019,Q1,Tuesday,0,19
2019-03-20,March,2019,Q1,Wednesday,0,20
2019-03-21,March,2019,Q1,Thursday,0,21
2019-03-22,March,2019,Q1,Friday,0,22
2019-03-23,March,2019,Q1,Saturday,0,23
2019-03-24,March,2019,Q1,Sunday,0,24
