TicketID,CreatedDate,ClosedDate,AgencyName,ComplaintType,Status,Latitude,Longitude,ZipCode,ResolutionDays,ReopenCount,SeverityScore,SentimentScore,CostEstimate,PopulationDensity,SLAStatus,SLA_Compliant,Year,Month,Quarter
TG-10001,2019-03-13,2019-03-28,Education Department,School Infrastructure Issue,Closed,17.291047,79.728479,503001,15,0,6.21,-0.285,7683.65,466.7,Within SLA,Late,2019,March,1
TG-10002,2019-04-23,2019-04-24,HMWS&SB,Water Pipeline Leakage,Closed,17.936889,78.36706,502270,1,0,7.35,-0.013,26496.76,2397.0,Within SLA,Late,2019,April,2
TG-10003,2019-07-03,2019-07-04,HMWS&SB,Water Supply Disruption,Closed,18.376938,80.6835,500016,1,0,9.39,0.053,106234.88,17731.2,Within SLA,Late,2019,July,3
TG-10004,2019-01-24,2019-01-28,TSSPDCL,Transformer Fault,Closed,18.041595,80.703264,503309,4,2,7.98,-0.669,44249.98,2219.6,Breached,Late,2019,January,1
TG-10005,2019-12-16,2019-12-17,TSSPDCL,Power Outage,Closed,19.64633,80.09028,500016,1,0,7.59,-0.12,34728.36,12622.6,Within SLA,Late,2019,December,4
TG-10006,2019-04-28,2019-06-18,TSIIC,Industrial Pollution,Closed,19.47965,78.521647,500016,51,0,9.47,-0.348,203343.39,10109.8,Breached,Late,2019,April,2
TG-10007,2019-03-15,2019-03-20,GHMC,Footpath Encroachment,Closed,17.730788,81.388768,503111,5,0,3.79,-0.383,11372.72,1299.7,Within SLA,Late,2019,March,1
TG-10008,2019-02-26,2019-03-04,GHMC,Garbage Not Collected,Closed,17.797506,81.38371,500028,6,0,3.61,-0.021,4074.61,12221.6,Within SLA,Late,2019,February,1
TG-10009,2019-10-02,2019-11-13,Forest Department,Deforestation Complaint,Closed,17.395523,79.302462,501401,42,0,8.25,-0.603,81736.92,9699.8,Breached,Late,2019,October,4
TG-10010,2019-11-24,2019-12-06,Water Resources,Borewell Water Contamination,Closed,19.14733,79.427485,500002,12,0,8.52,0.231,121059.17,15625.1,Within SLA,Late,2019,November,4
TG-10011,2019-07-05,2019-07-17,Food & Civil Supplies,Ration Card Issue,Closed,19.274479,81.307535,500016,12,0,6.64,-0.278,23471.52,8787.6,Breached,Late,2019,July,3
TG-10012,2019-10-09,2019-10-14,HMWS&SB,Water Supply Disruption,Closed,18.333607,80.26571,502319,5,0,6.66,0.488,55360.37,1557.8,Within SLA,Late,2019,October,4
TG-10013,2019-07-11,2019-07-12,Public Health,Mosquito Breeding,Closed,18.500696,77.230202,500008,1,0,6.31,0.101,44640.15,8210.3,Within SLA,Late,2019,July,3
TG-10014,2019-06-19,,GHMC,Streetlight Not Working,Pending,18.959399,80.906009,505001,10,0,3.21,-0.191,9120.39,1713.5,Breached,Open,2019,June,2
TG-10015,2019-04-08,,Labour Department,Labour Wage Dispute,Open,18.697011,77.454573,502319,14,0,6.28,-0.408,49928.56,635.4,Within SLA,Open,2019,April,2
TG-10016,2019-08-18,2019-09-02,HMDA,Illegal Construction,Closed,18.006645,80.817666,506001,15,0,6.42,0.417,66284.81,1449.3,Within SLA,Late,2019,August,3
TG-10017,2019-01-08,2019-01-17,HMWS&SB,Water Pipeline Leakage,Closed,17.788509,81.338297,502001,9,0,8.91,-0.507,24199.48,1502.6,Breached,Late,2019,January,1
TG-10018,2019-10-12,2019-10-19,Revenue Department,Encroachment of Public Land,Closed,18.469213,79.47722,500035,7,0,6.99,0.119,74965.25,4780.2,Within SLA,Late,2019,October,4
TG-10019,2019-09-29,2019-10-08,GHMC,Garbage Not Collected,Closed,19.701427,79.592637,506001,9,2,3.63,-0.198,8543.54,3530.2,Breached,Late,2019,September,3
TG-10020,2019-10-26,2019-10-31,Roads & Buildings,Road Cave-in,Closed,17.311532,78.862301,502001,5,0,9.13,0.147,158783.96,1010.6,Within SLA,Late,2019,October,4
TG-10021,2019-02-07,,TSRTC,Bus Route Irregularity,Pending,19.673082,80.89963,505172,19,2,2.03,-0.183,1464.2,1032.9,Breached,Open,2019,February,1
TG-10022,2019-10-06,2019-11-01,Revenue Department,Encroachment of Public Land,Closed,19.278154,78.457391,508213,26,0,7.11,0.097,16131.48,1411.8,Within SLA,Late,2019,October,4
TG-10023,2019-10-11,,HMDA,Illegal Construction,Open,18.161008,81.002413,505327,10,1,6.47,0.059,29264.19,2085.6,Within SLA,Open,2019,October,4
TG-10024,2019-01-23,,HMWS&SB,Water Pipeline Leakage,Open,18.375713,78.996285,508001,2,1,6.01,-0.098,52424.22,745.3,Within SLA,Open,2019,January,1
TG-10025,2019-03-18,2019-04-20,Panchayati Raj,Rural Road Damage,Closed,19.805467,77.367558,500002,33,1,6.64,-0.379,69130.2,11646.5,Breached,Late,2019,March,1
TG-10026,2019-10-14,2019-11-03,Forest Department,Deforestation Complaint,Closed,17.304907,77.882507,500070,20,0,8.65,0.137,89499.14,7496.9,Within SLA,Late,2019,October,4
TG-10027,2019-06-20,2019-06-26,GHMC,Footpath Encroachment,Closed,16.867525,80.8631,507101,6,0,5.35,0.46,19979.83,887.0,Within SLA,Late,2019,June,2
TG-10028,2019-06-29,,TSSPDCL,Power Outage,Pending,17.44725,77.491567,508207,4,0,6.22,-0.713,35494.43,1422.1,Breached,Open,2019,June,2
TG-10029,2019-10-02,2019-10-05,HMWS&SB,Water Pipeline Leakage,Closed,17.977517,80.259889,506003,3,0,6.99,0.434,22046.06,1502.6,Within SLA,Late,2019,October,4
TG-10030,2019-05-11,2019-05-16,Public Health,Mosquito Breeding,Closed,18.946062,80.31619,501301,5,0,5.13,0.793,35593.88,8553.5,Within SLA,Late,2019,May,2
